Problem,Time
navigation01,0.1496
navigation02,0.2147
navigation03,0.4068
navigation04,1.0277
navigation05,0.7640
navigation06,1.5020
navigation07,2.4973
navigation08,3.0082
navigation09,6.0508
navigation10,9.9656
